FILE     : ETPOLUT1.DAT
STATUS   : 1997.03.16                                       
CONTENTS : Pole coordinates and earth rotation,                                  
           one day sampling interval, given at 0 hours UTC.             
                                                                                
           The pole coordinates, UT1-UTC and TAI-UT1 have been taken from 
           files EOPC04.xx (xx = year), transferred from IERS via INTERNET 
           to Karlsruhe at 19941108, 19950310, 19951011, 19960218, 19970305
           and transformed to current format using program IERS.FOR. 
                          
           Adress: 145.238.2.21
           login:  anonymous
           password: wenzel gik karlsruhe
           directory: cd iers cd old
                                                      
           Start: 19720101  MJD = 41317.000                                     
           End  : 19970228  MJD = 50507.000                                     

           Span :                  9190.000 days  = 25.16 years                  
                                                                                
Date     Time    MJD          x         y       UT1-UTC   TAI-UT1                                   
                             ["]       ["]      [SEC]     [SEC]                                   
C****************************************************************************** 
19720802 000000 41531.000   0.04420   0.40740  0.280060 10.719940
19720803 000000 41532.000   0.04680   0.40770  0.277312 10.722688
19720804 000000 41533.000   0.04940   0.40790  0.274761 10.725239
19720805 000000 41534.000   0.05190   0.40800  0.272322 10.727678
19720806 000000 41535.000   0.05440   0.40810  0.269931 10.730069
19720807 000000 41536.000   0.05680   0.40820  0.267468 10.732532
19720808 000000 41537.000   0.05920   0.40820  0.264872 10.735128
19720809 000000 41538.000   0.06150   0.40810  0.262095 10.737905
19720810 000000 41539.000   0.06380   0.40800  0.259178 10.740822
19720811 000000 41540.000   0.06600   0.40780  0.256211 10.743789
19720812 000000 41541.000   0.06820   0.40760  0.253247 10.746753
19720813 000000 41542.000   0.07030   0.40730  0.250389 10.749611
19720814 000000 41543.000   0.07230   0.40700  0.247664 10.752336
19720815 000000 41544.000   0.07440   0.40660  0.245138 10.754862
19720816 000000 41545.000   0.07630   0.40610  0.242803 10.757197
19720817 000000 41546.000   0.07820   0.40560  0.240656 10.759344
19720818 000000 41547.000   0.08010   0.40500  0.238641 10.761359
19720819 000000 41548.000   0.08190   0.40440  0.236716 10.763284
19720820 000000 41549.000   0.08370   0.40360  0.234794 10.765206
19720821 000000 41550.000   0.08540   0.40290  0.232799 10.767201
19720822 000000 41551.000   0.08710   0.40200  0.230657 10.769343
19720823 000000 41552.000   0.08870   0.40110  0.228295 10.771705
19720824 000000 41553.000   0.09030   0.40010  0.225681 10.774319
19720825 000000 41554.000   0.09190   0.39900  0.222818 10.777182
19720826 000000 41555.000   0.09340   0.39790  0.219784 10.780216
19720827 000000 41556.000   0.09490   0.39670  0.216661 10.783339
19720828 000000 41557.000   0.09630   0.39550  0.213592 10.786408
19720829 000000 41558.000   0.09770   0.39420  0.210694 10.789306
19720830 000000 41559.000   0.09910   0.39280  0.208003 10.791997
19720831 000000 41560.000   0.10050   0.39140  0.205525 10.794475
19720901 000000 41561.000   0.10180   0.38990  0.203171 10.796829
19720902 000000 41562.000   0.10310   0.38830  0.200844 10.799156
19720903 000000 41563.000   0.10430   0.38670  0.198447 10.801553
19720904 000000 41564.000   0.10560   0.38500  0.195876 10.804124
19720905 000000 41565.000   0.10680   0.38330  0.193105 10.806895
19720906 000000 41566.000   0.10800   0.38160  0.190120 10.809880
19720907 000000 41567.000   0.10920   0.37980  0.186988 10.813012
19720908 000000 41568.000   0.11030   0.37790  0.183782 10.816218
19720909 000000 41569.000   0.11150   0.37600  0.180566 10.819434
19720910 000000 41570.000   0.11260   0.37410  0.177429 10.822571
19720911 000000 41571.000   0.11370   0.37220  0.174421 10.825579
19720912 000000 41572.000   0.11480   0.37020  0.171562 10.828438
19720913 000000 41573.000   0.11590   0.36810  0.168828 10.831172
19720914 000000 41574.000   0.11700   0.36610  0.166210 10.833790
19720915 000000 41575.000   0.11810   0.36400  0.163651 10.836349
19720916 000000 41576.000   0.11920   0.36190  0.161100 10.838900
19720917 000000 41577.000   0.12030   0.35970  0.158466 10.841534
19720918 000000 41578.000   0.12140   0.35760  0.155705 10.844295
19720919 000000 41579.000   0.12250   0.35540  0.152722 10.847278
19720920 000000 41580.000   0.12360   0.35320  0.149486 10.850514
19720921 000000 41581.000   0.12470   0.35090  0.145975 10.854025
19720922 000000 41582.000   0.12580   0.34870  0.142234 10.857766
19720923 000000 41583.000   0.12690   0.34640  0.138356 10.861644
19720924 000000 41584.000   0.12800   0.34410  0.134463 10.865537
19720925 000000 41585.000   0.12920   0.34180  0.130712 10.869288
19720926 000000 41586.000   0.13030   0.33950  0.127172 10.872828
19720927 000000 41587.000   0.13150   0.33720  0.123885 10.876115
19720928 000000 41588.000   0.13260   0.33480  0.120784 10.879216
19720929 000000 41589.000   0.13380   0.33250  0.117762 10.882238
19720930 000000 41590.000   0.13500   0.33010  0.114712 10.885288
19721001 000000 41591.000   0.13610   0.32770  0.111540 10.888460
19721002 000000 41592.000   0.13730   0.32530  0.108208 10.891792
19721003 000000 41593.000   0.13850   0.32290  0.104701 10.895299
19721004 000000 41594.000   0.13970   0.32050  0.101054 10.898946
19721005 000000 41595.000   0.14090   0.31800  0.097349 10.902651
19721006 000000 41596.000   0.14210   0.31560  0.093647 10.906353
19721007 000000 41597.000   0.14330   0.31310  0.090029 10.909971
19721008 000000 41598.000   0.14450   0.31060  0.086550 10.913450
19721009 000000 41599.000   0.14560   0.30810  0.083230 10.916770
19721010 000000 41600.000   0.14680   0.30560  0.080087 10.919913
19721011 000000 41601.000   0.14800   0.30310  0.077109 10.922891
19721012 000000 41602.000   0.14910   0.30060  0.074245 10.925755
19721013 000000 41603.000   0.15020   0.29810  0.071428 10.928572
19721014 000000 41604.000   0.15130   0.29560  0.068611 10.931389
19721015 000000 41605.000   0.15230   0.29310  0.065720 10.934280
19721016 000000 41606.000   0.15340   0.29060  0.062687 10.937313
19721017 000000 41607.000   0.15440   0.28800  0.059473 10.940527
19721018 000000 41608.000   0.15530   0.28550  0.056025 10.943975
19721019 000000 41609.000   0.15630   0.28300  0.052370 10.947630
19721020 000000 41610.000   0.15710   0.28050  0.048548 10.951452
19721021 000000 41611.000   0.15800   0.27800  0.044682 10.955318
19721022 000000 41612.000   0.15880   0.27550  0.040889 10.959111
19721023 000000 41613.000   0.15950   0.27300  0.037308 10.962692
19721024 000000 41614.000   0.16020   0.27050  0.033993 10.966007
19721025 000000 41615.000   0.16080   0.26800  0.030936 10.969064
19721026 000000 41616.000   0.16140   0.26560  0.028036 10.971964
19721027 000000 41617.000   0.16190   0.26310  0.025179 10.974821
19721028 000000 41618.000   0.16240   0.26070  0.022244 10.977756
19721029 000000 41619.000   0.16280   0.25830  0.019166 10.980834
19721030 000000 41620.000   0.16320   0.25590  0.015958 10.984042
19721031 000000 41621.000   0.16350   0.25360  0.012622 10.987378
19721101 000000 41622.000   0.16370   0.25130  0.009240 10.990760
19721102 000000 41623.000   0.16390   0.24900  0.005857 10.994143
19721103 000000 41624.000   0.16410   0.24670  0.002537 10.997463
19721104 000000 41625.000   0.16420   0.24450 -0.000660 11.000660
19721105 000000 41626.000   0.16420   0.24230 -0.003706 11.003706
19721106 000000 41627.000   0.16420   0.24010 -0.006592 11.006592
19721107 000000 41628.000   0.16410   0.23790 -0.009348 11.009348
19721108 000000 41629.000   0.16400   0.23580 -0.012000 11.012000
19721109 000000 41630.000   0.16390   0.23370 -0.014600 11.014600
19721110 000000 41631.000   0.16370   0.23170 -0.017231 11.017231
19721111 000000 41632.000   0.16350   0.22970 -0.019938 11.019938
19721112 000000 41633.000   0.16320   0.22770 -0.022798 11.022798
19721113 000000 41634.000   0.16290   0.22570 -0.025840 11.025840
19721114 000000 41635.000   0.16250   0.22380 -0.029108 11.029108
19721115 000000 41636.000   0.16220   0.22180 -0.032615 11.032615
19721116 000000 41637.000   0.16180   0.21990 -0.036324 11.036324
19721117 000000 41638.000   0.16140   0.21810 -0.040160 11.040160
19721118 000000 41639.000   0.16090   0.21620 -0.044015 11.044015
19721119 000000 41640.000   0.16040   0.21430 -0.047770 11.047770
19721120 000000 41641.000   0.15990   0.21250 -0.051334 11.051334
19721121 000000 41642.000   0.15940   0.21060 -0.054686 11.054686
19721122 000000 41643.000   0.15890   0.20880 -0.057877 11.057877
19721123 000000 41644.000   0.15840   0.20690 -0.061020 11.061020
19721124 000000 41645.000   0.15780   0.20510 -0.064241 11.064241
19721125 000000 41646.000   0.15720   0.20320 -0.067617 11.067617
19721126 000000 41647.000   0.15660   0.20140 -0.071189 11.071189
19721127 000000 41648.000   0.15600   0.19950 -0.074914 11.074914
19721128 000000 41649.000   0.15540   0.19760 -0.078713 11.078713
19721129 000000 41650.000   0.15480   0.19570 -0.082503 11.082503
19721130 000000 41651.000   0.15420   0.19380 -0.086227 11.086227
19721201 000000 41652.000   0.15350   0.19190 -0.089815 11.089815
19721202 000000 41653.000   0.15290   0.19000 -0.093245 11.093245
19721203 000000 41654.000   0.15220   0.18800 -0.096496 11.096496
19721204 000000 41655.000   0.15150   0.18610 -0.099553 11.099553
19721205 000000 41656.000   0.15090   0.18410 -0.102466 11.102466
19721206 000000 41657.000   0.15020   0.18210 -0.105286 11.105286
19721207 000000 41658.000   0.14950   0.18000 -0.108061 11.108061
19721208 000000 41659.000   0.14880   0.17800 -0.110869 11.110869
19721209 000000 41660.000   0.14810   0.17590 -0.113755 11.113755
19721210 000000 41661.000   0.14730   0.17380 -0.116767 11.116767
19721211 000000 41662.000   0.14660   0.17170 -0.119954 11.119954
19721212 000000 41663.000   0.14590   0.16960 -0.123311 11.123311
19721213 000000 41664.000   0.14510   0.16750 -0.126823 11.126823
19721214 000000 41665.000   0.14430   0.16530 -0.130448 11.130448
19721215 000000 41666.000   0.14360   0.16320 -0.134090 11.134090
19721216 000000 41667.000   0.14280   0.16100 -0.137651 11.137651
19721217 000000 41668.000   0.14190   0.15880 -0.141055 11.141055
19721218 000000 41669.000   0.14110   0.15660 -0.144263 11.144263
19721219 000000 41670.000   0.14020   0.15440 -0.147285 11.147285
19721220 000000 41671.000   0.13940   0.15220 -0.150214 11.150214
19721221 000000 41672.000   0.13840   0.15000 -0.153173 11.153173
19721222 000000 41673.000   0.13750   0.14780 -0.156271 11.156271
19721223 000000 41674.000   0.13660   0.14550 -0.159556 11.159556
19721224 000000 41675.000   0.13560   0.14330 -0.163041 11.163041
19721225 000000 41676.000   0.13460   0.14110 -0.166629 11.166629
